# abbr_inter_2017_02.tsvのユーザ回答を集計したファイル
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID	原言語側で２つの部分に分割できるカタカナ「語彙素」	当該語彙素の原言語側での表記（スペース区切り）	原言語側の分割に従って分割した語彙素の前部	語彙素原言語側表記での前部	語彙素前部中で原言語からの省略が起きて「いる」と回答したユーザ数	語彙素前部中で原言語からの省略が起きて「いない」と回答したユーザ数	原言語側の分割に従って分割した語彙素の後部	語彙素原言語側表記での後部	語彙素後部中で原言語からの省略が起きて「いる」と回答したユーザ数	語彙素後部中で原言語からの省略が起きて「いない」と回答したユーザ数
34204	ベトナム	Viet Nam	ベト	Viet	abb:7	!abb:293	ナム	Nam	abb:2	!abb:298
34298	ペイアウト	pay out	ペイ	pay	abb:1	!abb:99	アウト	out	abb:0	!abb:100
35254	ボンジョビ	Bon Jovi	ボン	Bon	abb:0	!abb:100	ジョビ	Jovi	abb:0	!abb:100
35664	マザコン	mother complex	マザ	mother	abb:89	!abb:9	コン	complex	abb:98	!abb:0
37364	メガビット	mega bit	メガ	mega	abb:0	!abb:100	ビット	bit	abb:0	!abb:100
39774	ラマンチャ	La Mancha	ラ	La	abb:0	!abb:99	マンチャ	Mancha	abb:0	!abb:99
41397	ワークステーション	work station	ワーク	work	abb:1	!abb:98	ステーション	station	abb:0	!abb:99
41403	ワープロ	word processor	ワー	word	abb:99	!abb:1	プロ	processor	abb:100	!abb:0
41673	アルカイダ	al qaida	アル	al	abb:1	!abb:298	カイダ	qaida	abb:1	!abb:298
41776	アリウープ	alley oop	アリ	alley	abb:13	!abb:85	ウープ	oop	abb:2	!abb:96
41806	デュポン	Du Pont	デュ	Du	abb:1	!abb:199	ポン	Pont	abb:17	!abb:183
41981	アメフト	American football	アメ	American	abb:100	!abb:0	フト	football	abb:100	!abb:0
42174	タミルイーラム	tamil ilam	タミル	tamil	abb:0	!abb:97	イーラム	ilam	abb:0	!abb:97
42376	ペイオフ	pay off	ペイ	pay	abb:2	!abb:98	オフ	off	abb:1	!abb:99
43732	カットソー	cut sewn	カット	cut	abb:2	!abb:298	ソー	sewn	abb:57	!abb:243
43772	アルバローザ	Alba Rosa	アルバ	Alba	abb:1	!abb:298	ローザ	Rosa	abb:1	!abb:298
