# abbr_inter_2017_02.tsvのユーザ回答を集計したファイル
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID	原言語側で２つの部分に分割できるカタカナ「語彙素」	当該語彙素の原言語側での表記（スペース区切り）	原言語側の分割に従って分割した語彙素の前部	語彙素原言語側表記での前部	語彙素前部中で原言語からの省略が起きて「いる」と回答したユーザ数	語彙素前部中で原言語からの省略が起きて「いない」と回答したユーザ数	原言語側の分割に従って分割した語彙素の後部	語彙素原言語側表記での後部	語彙素後部中で原言語からの省略が起きて「いる」と回答したユーザ数	語彙素後部中で原言語からの省略が起きて「いない」と回答したユーザ数
156794	カンポンチャム	Kampong Cham	カンポン	Kampong	abb:4	!abb:95	チャム	Cham	abb:1	!abb:98
156924	ノースキャロライナ	North Carolina	ノース	North	abb:1	!abb:197	キャロライナ	Carolina	abb:1	!abb:197
156964	カレザリ	Qaleh Zari	カレ	Qaleh	abb:2	!abb:96	ザリ	Zari	abb:2	!abb:96
157046	クラマスホール	Klamath Falls	クラマス	Klamath	abb:1	!abb:99	ホール	Falls	abb:8	!abb:92
157192	オメガトライブ	Omega Tribe	オメガ	Omega	abb:0	!abb:199	トライブ	Tribe	abb:0	!abb:199
157206	オーラス	all last	オー	all	abb:76	!abb:24	ラス	last	abb:88	!abb:12
157427	カステリオーネオローナ	Castiglione Olona	カステリオーネ	Castiglione	abb:1	!abb:99	オローナ	Olona	abb:1	!abb:99
157866	ノバスコシア	Nova Scotia	ノバ	Nova	abb:0	!abb:100	スコシア	Scotia	abb:1	!abb:99
157877	サンマンデ	Saint Mande	サン	Saint	abb:32	!abb:67	マンデ	Mande	abb:1	!abb:98
158178	クンツバー	Kuentz Bas	クンツ	Kuentz	abb:16	!abb:681	バー	Bas	abb:92	!abb:605
158277	ベラクーラ	Bella Coola	ベラ	Bella	abb:2	!abb:98	クーラ	Coola	abb:0	!abb:100
158691	ラスボス	last boss	ラス	last	abb:180	!abb:18	ボス	boss	abb:10	!abb:188
159180	ボサノバ	bossa nova	ボサ	bossa	abb:8	!abb:289	ノバ	nova	abb:3	!abb:294
159890	アルミパネル	aluminium panel	アルミ	aluminium	abb:168	!abb:31	パネル	panel	abb:0	!abb:199
160003	デトマソ	De Tomaso	デ	De	abb:3	!abb:96	トマソ	Tomaso	abb:3	!abb:96
160153	カメリハ	camera rehearsal	カメ	camera	abb:100	!abb:0	リハ	rehearsal	abb:100	!abb:0
160513	ロープロ	low profile	ロー	low	abb:7	!abb:490	プロ	profile	abb:487	!abb:10
160661	ダパンプ	DA PUMP	ダ	DA	abb:1	!abb:197	パンプ	PUMP	abb:1	!abb:197
160669	ベトミン	Viet Minh	ベト	Viet	abb:9	!abb:190	ミン	Minh	abb:6	!abb:193
161780	ピンサロ	pink salon	ピン	pink	abb:188	!abb:12	サロ	salon	abb:189	!abb:11
161891	ソンバオプ	Somba Opu	ソンバ	Somba	abb:2	!abb:98	オプ	Opu	abb:2	!abb:98
161963	トメアス	Tome Acu	トメ	Tome	abb:2	!abb:98	アス	Acu	abb:2	!abb:98
161991	ハワイロア	Hawaii Loa	ハワイ	Hawaii	abb:3	!abb:197	ロア	Loa	abb:3	!abb:197
163110	フンイエン	Hung Yen	フン	Hung	abb:4	!abb:294	イエン	Yen	abb:2	!abb:296
163773	マリアガランテ	Maria Galante	マリア	Maria	abb:1	!abb:99	ガランテ	Galante	abb:0	!abb:100
164304	ペーパーレス	paper less	ペーパー	paper	abb:1	!abb:99	レス	less	abb:1	!abb:99
164379	モガ	modern girl	モ	modern	abb:100	!abb:0	ガ	girl	abb:100	!abb:0
164637	ビージーズ	Bee Gees	ビー	Bee	abb:1	!abb:99	ジーズ	Gees	abb:0	!abb:100
165061	ピールパンジャル	Pir Panjal	ピール	Pir	abb:2	!abb:98	パンジャル	Panjal	abb:1	!abb:99
165740	ニュートラ	new traditional	ニュー	new	abb:1	!abb:96	トラ	traditional	abb:96	!abb:1
165776	シルスマリア	Sils Maria	シルス	Sils	abb:0	!abb:97	マリア	Maria	abb:0	!abb:97
166033	エルドラド	El Dorado	エル	El	abb:1	!abb:394	ドラド	Dorado	abb:2	!abb:393
166553	シンフェイン	Sinn Fein	シン	Sinn	abb:1	!abb:99	フェイン	Fein	abb:2	!abb:98
166748	エアロパーツ	aero parts	エアロ	aero	abb:3	!abb:97	パーツ	parts	abb:1	!abb:99
167067	ブレトンウッズ	Bretton Woods	ブレトン	Bretton	abb:2	!abb:98	ウッズ	Woods	abb:1	!abb:99
167068	ベンチェ	Ben Tre	ベン	Ben	abb:1	!abb:99	チェ	Tre	abb:2	!abb:98
168002	ダーデリアン	Der Derian	ダー	Der	abb:0	!abb:100	デリアン	Derian	abb:0	!abb:100
168682	プラマイ	plus minus	プラ	plus	abb:192	!abb:8	マイ	minus	abb:196	!abb:4
169411	ミナハン	Mina han	ミナ	Mina	abb:1	!abb:97	ハン	han	abb:2	!abb:96
169638	サンティッシマアンヌンツィアータ	Santissima Annunziata	サンティッシマ	Santissima	abb:2	!abb:196	アンヌンツィアータ	Annunziata	abb:2	!abb:196
169949	パゴパゴ	Pago Pago	パゴ	Pago	abb:3	!abb:97	パゴ	Pago	abb:3	!abb:97
170482	レクトトーン	rect tone	レクト	rect	abb:9	!abb:386	トーン	tone	abb:3	!abb:392
170931	プロファイ	project finance	プロ	project	abb:98	!abb:1	ファイ	finance	abb:97	!abb:2
171002	ルトロネ	Le Thoronet	ル	Le	abb:2	!abb:198	トロネ	Thoronet	abb:22	!abb:178
171125	タンロン	Thang Long	タン	Thang	abb:14	!abb:86	ロン	Long	abb:20	!abb:80
171939	カムラン	Cam Ranh	カム	Cam	abb:4	!abb:94	ラン	Ranh	abb:3	!abb:95
172097	サンローラン	Saint Laurent	サン	Saint	abb:17	!abb:83	ローラン	Laurent	abb:7	!abb:93
172374	サンタフェ	Santa Fe	サンタ	Santa	abb:0	!abb:100	フェ	Fe	abb:1	!abb:99
172444	ラモ	Lha Mo	ラ	Lha	abb:0	!abb:100	モ	Mo	abb:0	!abb:100
172705	デイトレ	day trade	デイ	day	abb:2	!abb:98	トレ	trade	abb:95	!abb:5
172987	チャウリチャウラ	Chauri Chaura	チャウリ	Chauri	abb:2	!abb:197	チャウラ	Chaura	abb:1	!abb:198
173744	ラブコメ	love comedy	ラブ	love	abb:2	!abb:98	コメ	comedy	abb:98	!abb:2
174567	バードゴーデスベルク	Bad Godesberg	バード	Bad	abb:3	!abb:197	ゴーデスベルク	Godesberg	abb:2	!abb:198
174664	リューネブルガーハイデ	Luneburger Heide	リューネブルガー	Luneburger	abb:1	!abb:99	ハイデ	Heide	abb:1	!abb:99
175601	エンプラ	engineering plastic	エン	engineering	abb:100	!abb:0	プラ	plastic	abb:100	!abb:0
175663	ハメリンプール	Hamelin Pool	ハメリン	Hamelin	abb:1	!abb:199	プール	Pool	abb:0	!abb:200
176176	ハドリン	Had Rin	ハド	Had	abb:3	!abb:97	リン	Rin	abb:2	!abb:98
176758	ロードアイランド	Rhode Island	ロード	Rhode	abb:0	!abb:100	アイランド	Island	abb:0	!abb:100
176871	モロベイ	Morro bay	モロ	Morro	abb:1	!abb:96	ベイ	bay	abb:0	!abb:97
176924	ケープコッド	Cape Cod	ケープ	Cape	abb:0	!abb:100	コッド	Cod	abb:1	!abb:99
177121	レアール	Les Halles	レ	Les	abb:17	!abb:83	アール	Halles	abb:18	!abb:82
177292	ロスロケス	Los Roques	ロス	Los	abb:3	!abb:97	ロケス	Roques	abb:1	!abb:99
177905	サンスーシー	san ssouci	サン	san	abb:3	!abb:97	スーシー	ssouci	abb:4	!abb:96
177934	タコベル	Taco Bell	タコ	Taco	abb:1	!abb:99	ベル	Bell	abb:0	!abb:100
178001	フリトレー	Frito Lay	フリト	Frito	abb:2	!abb:96	レー	Lay	abb:4	!abb:94
178128	セベルナヤゼムリャ	Severnaya Zemlya	セベルナヤ	Severnaya	abb:0	!abb:199	ゼムリャ	Zemlya	abb:0	!abb:199
178386	ニューリッチモンド	New Richmond	ニュー	New	abb:0	!abb:97	リッチモンド	Richmond	abb:0	!abb:97
178506	サンブナン	Saint Venant	サン	Saint	abb:73	!abb:227	ブナン	Venant	abb:41	!abb:259
178864	ラパス	La Paz	ラ	La	abb:2	!abb:96	パス	Paz	abb:2	!abb:96
178867	サンアンドレアス	San Andreas	サン	San	abb:2	!abb:197	アンドレアス	Andreas	abb:4	!abb:195
178935	アニパロ	animation parody	アニ	animation	abb:98	!abb:2	パロ	parody	abb:97	!abb:3
178939	アニュスデイ	Agnus Dei	アニュス	Agnus	abb:2	!abb:96	デイ	Dei	abb:1	!abb:97
178977	アブシンベル	Abu Simbel	アブ	Abu	abb:5	!abb:394	シンベル	Simbel	abb:3	!abb:396
180495	サンテチエンヌ	Saint Etienne	サンテ	Saint	abb:8	!abb:291	チエンヌ	Etienne	abb:13	!abb:286
180676	チノパン	chino pants	チノ	chino	abb:2	!abb:98	パン	pants	abb:97	!abb:3
180789	レゼコール	les ecole	レゼ	les	abb:5	!abb:195	コール	ecole	abb:7	!abb:193
180998	ポケミス	pocket mystery	ポケ	pocket	abb:97	!abb:2	ミス	mystery	abb:97	!abb:2
181911	レスポール	Les Paul	レス	Les	abb:2	!abb:98	ポール	Paul	abb:1	!abb:99
181953	エレアコ	electric acoustic	エレ	electric	abb:100	!abb:0	アコ	acoustic	abb:100	!abb:0
181997	ジージャン	jeans jumper	ジー	jeans	abb:98	!abb:0	ジャン	jumper	abb:97	!abb:1
182020	セフレ	sex friend	セ	sex	abb:100	!abb:0	フレ	friend	abb:99	!abb:1
182048	ノーパソ	note PC	ノー	note	abb:90	!abb:10	パソ	PC	abb:98	!abb:2
182466	フレイバーセイバー	Flavr Savr	フレイバー	Flavr	abb:1	!abb:97	セイバー	Savr	abb:2	!abb:96
182471	リフトバレー	Rift Valley	リフト	Rift	abb:1	!abb:99	バレー	Valley	abb:1	!abb:99
183025	インパネ	instrumental panel	イン	instrumental	abb:100	!abb:0	パネ	panel	abb:94	!abb:6
183260	ニューブランズウィック	New Brunswick	ニュー	New	abb:1	!abb:299	ブランズウィック	Brunswick	abb:2	!abb:298
183345	ハイユニ	Hi Uni	ハイ	Hi	abb:7	!abb:193	ユニ	Uni	abb:11	!abb:189
183414	コンパネ	control panel	コン	control	abb:294	!abb:4	パネ	panel	abb:287	!abb:11
183440	ドルガバ	Dolce Gabbana	ドル	Dolce	abb:158	!abb:40	ガバ	Gabbana	abb:178	!abb:20
183503	リクスタ	recruit staffing	リク	recruit	abb:93	!abb:5	スタ	staffing	abb:96	!abb:2
183544	サントノーレ	Saint Honore	サント	Saint	abb:2	!abb:97	ノーレ	Honore	abb:5	!abb:94
183558	オルボワール	Au revoir	オ	Au	abb:1	!abb:99	ルボワール	revoir	abb:0	!abb:100
183602	スタートアップ	start up	スタート	start	abb:0	!abb:99	アップ	up	abb:0	!abb:99
183712	ニューラナーク	New Lanark	ニュー	New	abb:1	!abb:198	ラナーク	Lanark	abb:1	!abb:198
183828	エキパイ	exhaust pipe	エキ	exhaust	abb:94	!abb:4	パイ	pipe	abb:50	!abb:48
183876	フォリフォリ	Folli Follie	フォリ	Folli	abb:0	!abb:100	フォリ	Follie	abb:2	!abb:98
183898	ツアコン	tour conductor	ツア	tour	abb:50	!abb:50	コン	conductor	abb:99	!abb:1
184061	マウントホエールバック	Mount Whaleback	マウント	Mount	abb:4	!abb:295	ホエールバック	Whaleback	abb:1	!abb:298
184098	アリススプリングス	Alice Springs	アリス	Alice	abb:1	!abb:99	スプリングス	Springs	abb:1	!abb:99
184322	グレートアーテジアン	Great Artesian	グレート	Great	abb:0	!abb:200	アーテジアン	Artesian	abb:2	!abb:198
184357	フィレオ	filet o	フィレ	filet	abb:18	!abb:82	オ	o	abb:5	!abb:95
184366	サマソニ	summer sonic	サマ	summer	abb:89	!abb:11	ソニ	sonic	abb:98	!abb:2
184372	グラボ	graphics board	グラ	graphics	abb:96	!abb:4	ボ	board	abb:99	!abb:1
184472	チンスポ	chin spoiler	チン	chin	abb:6	!abb:92	スポ	spoiler	abb:95	!abb:3
184493	オナホール	onanie hole	オナ	onanie	abb:193	!abb:7	ホール	hole	abb:2	!abb:198
184656	グレートディバイディング	Great Dividing	グレート	Great	abb:0	!abb:100	ディバイディング	Dividing	abb:2	!abb:98
185196	プティタミ	petit ami	プティ	petit	abb:8	!abb:92	タミ	ami	abb:7	!abb:93
185337	パソ	Ba so	パ	Ba	abb:23	!abb:574	ソ	so	abb:19	!abb:578
185703	コムサ	comme ca	コム	comme	abb:6	!abb:192	サ	ca	abb:5	!abb:193
185751	スケブ	sketch book	スケ	sketch	abb:98	!abb:2	ブ	book	abb:100	!abb:0
185825	グレートプレーンズ	Great Plains	グレート	Great	abb:1	!abb:96	プレーンズ	Plains	abb:0	!abb:97
186008	ウータン	Wu Tang	ウー	Wu	abb:1	!abb:99	タン	Tang	abb:7	!abb:93
186260	バンホーテン	Van Houten	バン	Van	abb:1	!abb:198	ホーテン	Houten	abb:1	!abb:198
186774	バレーフォージ	Valley Forge	バレー	Valley	abb:1	!abb:99	フォージ	Forge	abb:1	!abb:99
186863	デプレ	Des Prez	デ	Des	abb:69	!abb:231	プレ	Prez	abb:64	!abb:236
186926	フォギーボトム	Foggy Bottom	フォギー	Foggy	abb:4	!abb:294	ボトム	Bottom	abb:3	!abb:295
186972	マスコン	Master controller	マス	Master	abb:393	!abb:2	コン	controller	abb:395	!abb:0
187057	ソニプラ	Sony plaza	ソニ	Sony	abb:81	!abb:19	プラ	plaza	abb:100	!abb:0
187640	ゲッチュ	get you	ゲッ	get	abb:45	!abb:55	チュ	you	abb:39	!abb:61
187779	レトロゲー	retro game	レトロ	retro	abb:4	!abb:94	ゲー	game	abb:97	!abb:1
189822	ブキットバドゥン	Bukit Badung	ブキット	Bukit	abb:0	!abb:99	バドゥン	Badung	abb:1	!abb:98
190542	ネズパース	Nez Perce	ネズ	Nez	abb:10	!abb:390	パース	Perce	abb:4	!abb:396
190737	アルフッラ	Al Hurra	アル	Al	abb:0	!abb:100	フッラ	Hurra	abb:0	!abb:100
191220	プリカ	prepaid card	プリ	prepaid	abb:100	!abb:0	カ	card	abb:95	!abb:5
191386	アルタグラシア	Alta Gracia	アルタ	Alta	abb:0	!abb:98	グラシア	Gracia	abb:0	!abb:98
191449	ニューベッドフォード	New Bedford	ニュー	New	abb:0	!abb:100	ベッドフォード	Bedford	abb:0	!abb:100
191576	トゥールコック	Toul Kork	トゥール	Toul	abb:1	!abb:199	コック	Kork	abb:0	!abb:200
192105	ゼチェプラジニ	Zece Prajini	ゼチェ	Zece	abb:2	!abb:196	プラジニ	Prajini	abb:2	!abb:196
192988	ミナスジェライス	Minas Gerais	ミナス	Minas	abb:2	!abb:98	ジェライス	Gerais	abb:3	!abb:97
193240	サンジミニャーノ	San Gimignano	サン	San	abb:0	!abb:299	ジミニャーノ	Gimignano	abb:5	!abb:294
193868	キパワー	Qi power	キ	Qi	abb:2	!abb:97	パワー	power	abb:0	!abb:99
193925	バイオレメ	bio remediation	バイオ	bio	abb:3	!abb:97	レメ	remediation	abb:94	!abb:6
194971	カトルブラ	Quatre Bras	カトル	Quatre	abb:8	!abb:190	ブラ	Bras	abb:70	!abb:128
195682	サンファニーコ	San Juanico	サン	San	abb:1	!abb:99	ファニーコ	Juanico	abb:2	!abb:98
195891	グロスモーン	Gros Morne	グロス	Gros	abb:0	!abb:99	モーン	Morne	abb:1	!abb:98
196073	サンイグナシオ	San Ignacio	サン	San	abb:1	!abb:297	イグナシオ	Ignacio	abb:3	!abb:295
196133	ルアンパバーン	Luang Phabang	ルアン	Luang	abb:2	!abb:97	パバーン	Phabang	abb:2	!abb:97
196241	マスプロ	mass production	マス	mass	abb:21	!abb:477	プロ	production	abb:491	!abb:7
196481	ノーブラ	no brassiere	ノー	no	abb:2	!abb:98	ブラ	brassiere	abb:99	!abb:1
196490	アメラグ	American rugby	アメ	American	abb:98	!abb:1	ラグ	rugby	abb:96	!abb:3
198975	チョーオユー	Cho Oyu	チョー	Cho	abb:3	!abb:197	オユー	Oyu	abb:3	!abb:197
199441	ツクラカン	Tsug lagkhang	ツク	Tsug	abb:8	!abb:188	ラカン	lagkhang	abb:20	!abb:176
199465	カラフイ	Ka Lahui	カ	Ka	abb:1	!abb:99	ラフイ	Lahui	abb:1	!abb:99
199490	チョボ	jo bo	チョ	jo	abb:1	!abb:99	ボ	bo	abb:1	!abb:99
199578	アインダラー	Ain Dara	アイン	Ain	abb:1	!abb:99	ダラー	Dara	abb:1	!abb:99
199727	ザンクトペルテン	Sankt Polten	ザンクト	Sankt	abb:1	!abb:99	ペルテン	Polten	abb:1	!abb:99
200024	ナムトク	Nam Tok	ナム	Nam	abb:2	!abb:98	トク	Tok	abb:3	!abb:97
200057	ラスクルーセス	Las Cruces	ラス	Las	abb:5	!abb:194	クルーセス	Cruces	abb:2	!abb:197
200453	ヌエボラレド	Nuevo Laredo	ヌエボ	Nuevo	abb:0	!abb:100	ラレド	Laredo	abb:0	!abb:100
200559	ホンクアン	Hong Quang	ホン	Hong	abb:2	!abb:98	クアン	Quang	abb:0	!abb:100
200735	ワンピ	one piece	ワン	one	abb:6	!abb:191	ピ	piece	abb:196	!abb:1
201501	アカペラ	a cappella	ア	a	abb:0	!abb:100	カペラ	cappella	abb:2	!abb:98
201623	ソンフォン	Song Fuong	ソン	Song	abb:37	!abb:63	フォン	Fuong	abb:24	!abb:76
201876	コーハウス	cooperative house	コー	cooperative	abb:99	!abb:1	ハウス	house	abb:1	!abb:99
202336	テルクダラム	Teluk Dalam	テルク	Teluk	abb:2	!abb:197	ダラム	Dalam	abb:4	!abb:195
202866	ノーススロープ	North Slope	ノース	North	abb:1	!abb:99	スロープ	Slope	abb:1	!abb:99
202871	ウワウルシ	uva ursi	ウワ	uva	abb:1	!abb:98	ウルシ	ursi	abb:0	!abb:99
203103	バッカスドルフ	bacchus dorf	バッカス	bacchus	abb:0	!abb:100	ドルフ	dorf	abb:1	!abb:99
203132	ミニサテ	mini satellite	ミニ	mini	abb:4	!abb:196	サテ	satellite	abb:190	!abb:10
203157	シンロック	synthetic rock	シン	synthetic	abb:99	!abb:1	ロック	rock	abb:2	!abb:98
203594	アクス	aq su	アク	aq	abb:3	!abb:95	ス	su	abb:3	!abb:95
203608	ヘリテレ	heli tele	ヘリ	heli	abb:6	!abb:94	テレ	tele	abb:6	!abb:94
204415	リレバン	relationship banking	リレ	relationship	abb:98	!abb:2	バン	banking	abb:98	!abb:2
204640	エルチチョン	El chichon	エル	El	abb:2	!abb:198	チチョン	chichon	abb:1	!abb:199
206014	フォートデトリック	Fort Detrick	フォート	Fort	abb:2	!abb:96	デトリック	Detrick	abb:1	!abb:97
206619	モンベル	mont bell	モン	mont	abb:25	!abb:75	ベル	bell	abb:1	!abb:99
207330	アイドルアナ	idle announcer	アイドル	idle	abb:0	!abb:100	アナ	announcer	abb:99	!abb:1
208367	オトパ	auto pilot	オト	auto	abb:76	!abb:24	パ	pilot	abb:97	!abb:3
208618	バーデンバーデン	Baden Baden	バーデン	Baden	abb:1	!abb:298	バーデン	Baden	abb:0	!abb:299
208894	メントレ	mental training	メン	mental	abb:97	!abb:1	トレ	training	abb:97	!abb:1
209602	モードラ	motor drive	モー	motor	abb:98	!abb:1	ドラ	drive	abb:96	!abb:3
209802	サビルロウ	Savile Row	サビル	Savile	abb:0	!abb:99	ロウ	Row	abb:0	!abb:99
210555	ツーカー	TU KA	ツー	TU	abb:0	!abb:199	カー	KA	abb:0	!abb:199
211933	サンベラン	Saint Verand	サン	Saint	abb:48	!abb:149	ベラン	Verand	abb:36	!abb:161
212030	バモー	Ba Maw	バ	Ba	abb:1	!abb:198	モー	Maw	abb:4	!abb:195
212258	モンスニ	Mont Cenis	モン	Mont	abb:23	!abb:77	スニ	Cenis	abb:29	!abb:71
215090	ウィングドフット	winged foot	ウィングド	winged	abb:2	!abb:196	フット	foot	abb:1	!abb:197
215745	ビラノーバ	vila nova	ビラ	vila	abb:4	!abb:294	ノーバ	nova	abb:5	!abb:293
215759	バルミツバ	bar mitzvah	バル	bar	abb:1	!abb:97	ミツバ	mitzvah	abb:1	!abb:97
216154	マウントバーノン	mount vernon	マウント	mount	abb:1	!abb:99	バーノン	vernon	abb:1	!abb:99
216432	マザフィグ	mother fixation	マザ	mother	abb:74	!abb:26	フィグ	fixation	abb:94	!abb:6
216791	スカパフロー	Scapa Flow	スカパ	Scapa	abb:3	!abb:97	フロー	Flow	abb:1	!abb:99
217470	アルアラビーヤ	al Arabiya	アル	al	abb:6	!abb:94	アラビーヤ	Arabiya	abb:3	!abb:97
218599	アルトパラナ	Alto Parana	アルト	Alto	abb:0	!abb:100	パラナ	Parana	abb:1	!abb:99
219122	ゴールダーズグリーン	Golders Green	ゴールダーズ	Golders	abb:1	!abb:195	グリーン	Green	abb:2	!abb:194
219168	サーキュラーキー	circular quay	サーキュラー	circular	abb:1	!abb:99	キー	quay	abb:4	!abb:96
219451	アッサウラ	Al Zawra	アッ	Al	abb:20	!abb:179	サウラ	Zawra	abb:1	!abb:198
219507	アルアハラム	al Ahram	アル	al	abb:2	!abb:198	アハラム	Ahram	abb:3	!abb:197
219710	プエルトモント	Puerto Montt	プエルト	Puerto	abb:0	!abb:99	モント	Montt	abb:0	!abb:99
219925	ベレスブランコ	Velez Blanco	ベレス	Velez	abb:1	!abb:199	ブランコ	Blanco	abb:0	!abb:200
220028	マートンアビー	Merton Abbey	マートン	Merton	abb:0	!abb:99	アビー	Abbey	abb:0	!abb:99
220939	リゾカジ	resort casino	リゾ	resort	abb:100	!abb:0	カジ	casino	abb:99	!abb:1
220952	アルアウサト	al Awsat	アル	al	abb:2	!abb:197	アウサト	Awsat	abb:0	!abb:199
220955	アッシャルク	al Sharq	アッ	al	abb:7	!abb:93	シャルク	Sharq	abb:3	!abb:97
221174	レプティスマグナ	Leptis Magna	レプティス	Leptis	abb:1	!abb:99	マグナ	Magna	abb:0	!abb:100
221208	トラボラ	Tora Bora	トラ	Tora	abb:5	!abb:292	ボラ	Bora	abb:6	!abb:291
221258	ロックスプリングズ	Rock Springs	ロック	Rock	abb:1	!abb:99	スプリングズ	Springs	abb:0	!abb:100
221493	アポステリオリ	a posteriori	ア	a	abb:2	!abb:98	ポステリオリ	posteriori	abb:2	!abb:98
222143	ニューヘブリデス	New Hebrides	ニュー	New	abb:2	!abb:295	ヘブリデス	Hebrides	abb:4	!abb:293
222210	アラモアナ	Ala Moana	アラ	Ala	abb:1	!abb:199	モアナ	Moana	abb:1	!abb:199
222227	ビュットショーモン	Buttes Chaumont	ビュット	Buttes	abb:3	!abb:97	ショーモン	Chaumont	abb:5	!abb:95
222280	ファザコン	father complex	ファザ	father	abb:85	!abb:15	コン	complex	abb:99	!abb:1
222476	ドゥクフォー	Duc Pho	ドゥク	Duc	abb:1	!abb:99	フォー	Pho	abb:2	!abb:98
222568	ウドンタニ	Udon Thani	ウドン	Udon	abb:2	!abb:295	タニ	Thani	abb:6	!abb:291
222571	サンファル	Saint Phalle	サン	Saint	abb:22	!abb:78	ファル	Phalle	abb:1	!abb:99
222581	コンタブネサン	Comtat Venaissin	コンタ	Comtat	abb:29	!abb:170	ブネサン	Venaissin	abb:5	!abb:194
222776	プエルトバジャルタ	Puerto Vallarta	プエルト	Puerto	abb:0	!abb:98	バジャルタ	Vallarta	abb:0	!abb:98
222777	プエルトラピセ	Puerto Lapice	プエルト	Puerto	abb:1	!abb:99	ラピセ	Lapice	abb:2	!abb:98
222875	ポートスタンレー	Port Stanley	ポート	Port	abb:0	!abb:100	スタンレー	Stanley	abb:0	!abb:100
222876	ポートピリー	Port Pirie	ポート	Port	abb:3	!abb:196	ピリー	Pirie	abb:2	!abb:197
223381	グランダッド	grand dad	グラン	grand	abb:37	!abb:63	ダッド	dad	abb:1	!abb:99
223408	オーロプレト	Ouro Preto	オーロ	Ouro	abb:0	!abb:99	プレト	Preto	abb:0	!abb:99
224003	アグアアマルガ	Agua Amarga	アグア	Agua	abb:0	!abb:100	アマルガ	Amarga	abb:0	!abb:100
224520	ザーラム	Gia Lam	ザー	Gia	abb:2	!abb:98	ラム	Lam	abb:1	!abb:99
224542	チャランカノア	Chalan Kanoa	チャラン	Chalan	abb:2	!abb:98	カノア	Kanoa	abb:2	!abb:98
224785	シャノワール	chat noir	シャ	chat	abb:26	!abb:73	ノワール	noir	abb:2	!abb:97
224793	ジャママプン	Jama Mapun	ジャマ	Jama	abb:7	!abb:391	マプン	Mapun	abb:3	!abb:395
225011	ナンパヤ	Nang Phya	ナン	Nang	abb:14	!abb:286	パヤ	Phya	abb:8	!abb:292
228100	バイタミックス	Vita Mix	バイタ	Vita	abb:7	!abb:93	ミックス	Mix	abb:2	!abb:98
228430	ディエゴガルシア	Diego Garcia	ディエゴ	Diego	abb:1	!abb:98	ガルシア	Garcia	abb:1	!abb:98
228559	ケープケネディ	Cape Kennedy	ケープ	Cape	abb:0	!abb:100	ケネディ	Kennedy	abb:0	!abb:100
228993	サブコン	sub control	サブ	sub	abb:4	!abb:196	コン	control	abb:195	!abb:5
229040	サンドマング	Saint Domingue	サン	Saint	abb:58	!abb:142	ドマング	Domingue	abb:5	!abb:195
229082	ホアヒン	Hua Hin	ホア	Hua	abb:1	!abb:99	ヒン	Hin	abb:0	!abb:100
229374	トロンプルイユ	trompe loeil	トロンプ	trompe	abb:1	!abb:99	ルイユ	loeil	abb:1	!abb:99
229520	フルコン	full computer	フル	full	abb:2	!abb:96	コン	computer	abb:97	!abb:1
229527	エアサス	air suspension	エア	air	abb:9	!abb:89	サス	suspension	abb:98	!abb:0
230056	テックスメックス	tex mex	テックス	tex	abb:2	!abb:297	メックス	mex	abb:2	!abb:297
230204	ハイコンプ	high compression	ハイ	high	abb:2	!abb:98	コンプ	compression	abb:98	!abb:2
231844	ブラコン	brother complex	ブラ	brother	abb:197	!abb:0	コン	complex	abb:197	!abb:0
232796	マアーリフ	Ma arif	マ	Ma	abb:4	!abb:194	アーリフ	arif	abb:5	!abb:193
233787	ムアッラカ	Mu allaqa	ム	Mu	abb:3	!abb:196	アッラカ	allaqa	abb:2	!abb:197
233842	グルイン	group interview	グル	group	abb:98	!abb:2	イン	interview	abb:99	!abb:1
234017	スペアナ	spectrum analyzer	スペ	spectrum	abb:99	!abb:1	アナ	analyzer	abb:98	!abb:2
234331	アーバーロー	Arbor Low	アーバー	Arbor	abb:2	!abb:98	ロー	Low	abb:1	!abb:99
234960	ワディラム	Wadi Rum	ワディ	Wadi	abb:3	!abb:196	ラム	Rum	abb:1	!abb:198
235215	マテハン	material handlig	マテ	material	abb:194	!abb:6	ハン	handlig	abb:194	!abb:6
235374	マテメソ	materials methods	マテ	materials	abb:92	!abb:8	メソ	methods	abb:92	!abb:8
237364	スイートピー	sweet pea	スイート	sweet	abb:0	!abb:100	ピー	pea	abb:2	!abb:98
237794	トレカ	trading card	トレ	trading	abb:97	!abb:3	カ	card	abb:97	!abb:3
238227	セルタン	self tanning	セル	self	abb:91	!abb:9	タン	tanning	abb:95	!abb:5
238458	グータン	gout temps	グー	gout	abb:49	!abb:149	タン	temps	abb:81	!abb:117
238488	ポンポネット	pom ponette	ポン	pom	abb:2	!abb:198	ポネット	ponette	abb:1	!abb:199
239453	ピュリニーモンラッシェ	Puligny Montrachet	ピュリニー	Puligny	abb:1	!abb:99	モンラッシェ	Montrachet	abb:1	!abb:99
240486	マケスピ	market speed	マケ	market	abb:100	!abb:0	スピ	speed	abb:100	!abb:0
240876	ポケコン	pocket computer	ポケ	pocket	abb:99	!abb:0	コン	computer	abb:99	!abb:0
241183	クトナーホラ	Kutna Hora	クトナー	Kutna	abb:1	!abb:96	ホラ	Hora	abb:2	!abb:95
