# abbr_aggregation_2017_02.tsvの集計を基に抽出した原言語からの省略形を内部に含む短単位語彙素
# abbr_aggregation_2017_02.tsvで集計したabbrがabbr+!abbrの90％以上になるものにabbrマークを付け（それ以外は!abbr）、それを含む短単位のみを列挙した。
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID	原言語側で２つの部分に分割できるカタカナ「語彙素」	当該語彙素の原言語側での表記（スペース区切り）	原言語側の分割に従って分割した語彙素の前部	語彙素原言語側表記での前部	語彙素前部中で原言語からの省略が起きているか（abb）否か（!abb）	原言語側の分割に従って分割した語彙素の後部	語彙素原言語側表記での後部	語彙素前部中で原言語からの省略が起きているか（abb）否か（!abb）
209602	モードラ	motor drive	モー	motor	abbr	ドラ	drive	abbr
216432	マザフィグ	mother fixation	マザ	mother	!abbr	フィグ	fixation	abbr
220939	リゾカジ	resort casino	リゾ	resort	abbr	カジ	casino	abbr
222280	ファザコン	father complex	ファザ	father	!abbr	コン	complex	abbr
228993	サブコン	sub control	サブ	sub	!abbr	コン	control	abbr
229520	フルコン	full computer	フル	full	!abbr	コン	computer	abbr
229527	エアサス	air suspension	エア	air	!abbr	サス	suspension	abbr
230204	ハイコンプ	high compression	ハイ	high	!abbr	コンプ	compression	abbr
231844	ブラコン	brother complex	ブラ	brother	abbr	コン	complex	abbr
233842	グルイン	group interview	グル	group	abbr	イン	interview	abbr
234017	スペアナ	spectrum analyzer	スペ	spectrum	abbr	アナ	analyzer	abbr
235215	マテハン	material handlig	マテ	material	abbr	ハン	handlig	abbr
235374	マテメソ	materials methods	マテ	materials	abbr	メソ	methods	abbr
237794	トレカ	trading card	トレ	trading	abbr	カ	card	abbr
238227	セルタン	self tanning	セル	self	abbr	タン	tanning	abbr
240486	マケスピ	market speed	マケ	market	abbr	スピ	speed	abbr
240876	ポケコン	pocket computer	ポケ	pocket	abbr	コン	computer	abbr
242294	カラバリ	color variation	カラ	color	!abbr	バリ	variation	abbr
243577	ノーコン	no control	ノー	no	!abbr	コン	control	abbr
244979	バーフェン	over fender	バー	over	abbr	フェン	fender	abbr
245982	デジアナ	digital analog	デジ	digital	abbr	アナ	analog	abbr
245984	アナアナ	analog analog	アナ	analog	abbr	アナ	analog	abbr
254588	ネトサ	net surfing	ネト	net	!abbr	サ	surfing	abbr
255283	トンキロ	ton kilometer	トン	ton	!abbr	キロ	kilometer	abbr
257925	シスコン	sister complex	シス	sister	abbr	コン	complex	abbr
259632	ケアマネ	care manager	ケア	care	!abbr	マネ	manager	abbr
262610	ドクハラ	doctor harassment	ドク	doctor	abbr	ハラ	harassment	abbr
264166	レスカ	lemon squash	レ	lemon	abbr	スカ	squash	abbr
264976	レポマン	repossess man	レポ	repossess	abbr	マン	man	!abbr
276931	ダブスタ	double standard	ダブ	double	abbr	スタ	standard	abbr
