# abbr_aggregation_2017_02.tsvの集計を基に抽出した原言語からの省略形を内部に含む短単位語彙素
# abbr_aggregation_2017_02.tsvで集計したabbrがabbr+!abbrの90％以上になるものにabbrマークを付け（それ以外は!abbr）、それを含む短単位のみを列挙した。
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID	原言語側で２つの部分に分割できるカタカナ「語彙素」	当該語彙素の原言語側での表記（スペース区切り）	原言語側の分割に従って分割した語彙素の前部	語彙素原言語側表記での前部	語彙素前部中で原言語からの省略が起きているか（abb）否か（!abb）	原言語側の分割に従って分割した語彙素の後部	語彙素原言語側表記での後部	語彙素前部中で原言語からの省略が起きているか（abb）否か（!abb）
1263	アルミサッシ	aluminium sash	アルミ	aluminium	abbr	サッシ	sash	!abbr
3615	エアコン	air conditioner	エア	air	!abbr	コン	conditioner	abbr
5531	オートバイ	auto bicycle	オート	auto	!abbr	バイ	bicycle	abbr
11217	ケミコン	chemical condenser	ケミ	chemical	abbr	コン	condenser	abbr
18853	ジーパン	jeans pants	ジー	jeans	abbr	パン	pants	abbr
19220	スタメン	starting member	スタ	starting	abbr	メン	member	abbr
19386	スフ	staple fibre	ス	staple	abbr	フ	fibre	abbr
20134	セクハラ	sexual harassment	セク	sexual	abbr	ハラ	harassment	abbr
20747	ゼネスト	general strike	ゼネ	general	abbr	スト	strike	abbr
29441	ハイテク	high technology	ハイ	high	!abbr	テク	technology	abbr
30384	ハンスト	hunger strike	ハン	hunger	abbr	スト	strike	abbr
30953	パソコン	personal computer	パソ	personal	abbr	コン	computer	abbr
30983	パトカー	patrol car	パト	patrol	abbr	カー	car	!abbr
33811	プロレス	professional wrestling	プロ	professional	abbr	レス	wrestling	abbr
34099	ベア	base up	ベ	base	abbr	ア	up	abbr
35664	マザコン	mother complex	マザ	mother	abbr	コン	complex	abbr
41403	ワープロ	word processor	ワー	word	abbr	プロ	processor	abbr
41981	アメフト	American football	アメ	American	abbr	フト	football	abbr
44003	アメフェス	American festival	アメ	American	abbr	フェス	festival	abbr
44263	スタジャン	stadium jumper	スタ	stadium	abbr	ジャン	jumper	abbr
45421	アメコミ	American comic	アメ	American	abbr	コミ	comic	abbr
82528	アフレコ	after recording	アフ	after	abbr	レコ	recording	abbr
83756	バリコン	variable condenser	バリ	variable	abbr	コン	condenser	abbr
86066	プチブル	petit bourgeois	プチ	petit	!abbr	ブル	bourgeois	abbr
96376	フリマ	flea market	フリ	flea	!abbr	マ	market	abbr
97851	パンタカバー	pantograph cover	パンタ	pantograph	abbr	カバー	cover	!abbr
101955	フリペ	free paper	フリ	free	!abbr	ペ	paper	abbr
115289	キャバクラ	cabaret club	キャバ	cabaret	abbr	クラ	club	!abbr
115302	キャンギャル	campaign girl	キャン	campaign	abbr	ギャル	girl	!abbr
120834	スパコン	super computer	スパ	super	abbr	コン	computer	abbr
132937	ゲネプロ	general probe	ゲネ	general	abbr	プロ	probe	abbr
138943	コスプレ	costume play	コス	costume	abbr	プレ	play	abbr
138959	アカハラ	academic harassment	アカ	academic	abbr	ハラ	harassment	abbr
139050	デフレスパイラル	deflation spiral	デフレ	deflation	abbr	スパイラル	spiral	!abbr
140321	ローテク	low technology	ロー	low	!abbr	テク	technology	abbr
140330	ワンレン	one length	ワン	one	!abbr	レン	length	abbr
141878	エンスト	engine stop	エン	engine	abbr	スト	stop	abbr
142265	ボディコン	body conscious	ボディ	body	!abbr	コン	conscious	abbr
143513	シスオペ	system operator	シス	system	abbr	オペ	operator	abbr
145826	ハイソ	high society	ハイ	high	!abbr	ソ	society	abbr
147022	トレパン	training pants	トレ	training	abbr	パン	pants	abbr
152605	チープロ	chief producer	チー	chief	abbr	プロ	producer	abbr
154997	クロカン	ross country	クロ	ross	abbr	カン	country	abbr
156094	シネコン	cinema complex	シネ	cinema	abbr	コン	complex	abbr
156404	イメクラ	image club	イメ	image	abbr	クラ	club	abbr
158691	ラスボス	last boss	ラス	last	abbr	ボス	boss	!abbr
160153	カメリハ	camera rehearsal	カメ	camera	abbr	リハ	rehearsal	abbr
160513	ロープロ	low profile	ロー	low	!abbr	プロ	profile	abbr
161780	ピンサロ	pink salon	ピン	pink	abbr	サロ	salon	abbr
164379	モガ	modern girl	モ	modern	abbr	ガ	girl	abbr
165740	ニュートラ	new traditional	ニュー	new	!abbr	トラ	traditional	abbr
168682	プラマイ	plus minus	プラ	plus	abbr	マイ	minus	abbr
170931	プロファイ	project finance	プロ	project	abbr	ファイ	finance	abbr
172705	デイトレ	day trade	デイ	day	!abbr	トレ	trade	abbr
173744	ラブコメ	love comedy	ラブ	love	!abbr	コメ	comedy	abbr
175601	エンプラ	engineering plastic	エン	engineering	abbr	プラ	plastic	abbr
178935	アニパロ	animation parody	アニ	animation	abbr	パロ	parody	abbr
180676	チノパン	chino pants	チノ	chino	!abbr	パン	pants	abbr
180998	ポケミス	pocket mystery	ポケ	pocket	abbr	ミス	mystery	abbr
181953	エレアコ	electric acoustic	エレ	electric	abbr	アコ	acoustic	abbr
181997	ジージャン	jeans jumper	ジー	jeans	abbr	ジャン	jumper	abbr
182020	セフレ	sex friend	セ	sex	abbr	フレ	friend	abbr
182048	ノーパソ	note PC	ノー	note	abbr	パソ	PC	abbr
183025	インパネ	instrumental panel	イン	instrumental	abbr	パネ	panel	abbr
183414	コンパネ	control panel	コン	control	abbr	パネ	panel	abbr
183503	リクスタ	recruit staffing	リク	recruit	abbr	スタ	staffing	abbr
183828	エキパイ	exhaust pipe	エキ	exhaust	abbr	パイ	pipe	!abbr
183898	ツアコン	tour conductor	ツア	tour	!abbr	コン	conductor	abbr
184366	サマソニ	summer sonic	サマ	summer	!abbr	ソニ	sonic	abbr
184372	グラボ	graphics board	グラ	graphics	abbr	ボ	board	abbr
184472	チンスポ	chin spoiler	チン	chin	!abbr	スポ	spoiler	abbr
184493	オナホール	onanie hole	オナ	onanie	abbr	ホール	hole	!abbr
185751	スケブ	sketch book	スケ	sketch	abbr	ブ	book	abbr
186972	マスコン	Master controller	マス	Master	abbr	コン	controller	abbr
187057	ソニプラ	Sony plaza	ソニ	Sony	!abbr	プラ	plaza	abbr
187779	レトロゲー	retro game	レトロ	retro	!abbr	ゲー	game	abbr
191220	プリカ	prepaid card	プリ	prepaid	abbr	カ	card	abbr
193925	バイオレメ	bio remediation	バイオ	bio	!abbr	レメ	remediation	abbr
196241	マスプロ	mass production	マス	mass	!abbr	プロ	production	abbr
196481	ノーブラ	no brassiere	ノー	no	!abbr	ブラ	brassiere	abbr
196490	アメラグ	American rugby	アメ	American	abbr	ラグ	rugby	abbr
200735	ワンピ	one piece	ワン	one	!abbr	ピ	piece	abbr
201876	コーハウス	cooperative house	コー	cooperative	abbr	ハウス	house	!abbr
203132	ミニサテ	mini satellite	ミニ	mini	!abbr	サテ	satellite	abbr
203157	シンロック	synthetic rock	シン	synthetic	abbr	ロック	rock	!abbr
204415	リレバン	relationship banking	リレ	relationship	abbr	バン	banking	abbr
207330	アイドルアナ	idle announcer	アイドル	idle	!abbr	アナ	announcer	abbr
208367	オトパ	auto pilot	オト	auto	!abbr	パ	pilot	abbr
208894	メントレ	mental training	メン	mental	abbr	トレ	training	abbr
