# ref_src_2019_03.tsv をマルチクラスのGLAD法で品質評価した結果
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID_1	語彙素読み1	語彙素1	語彙素ID_2	語彙素読み2	語彙素2	2つの語彙素が近しい意味を持つ確率
53836	サシオサエル	差し押さえる	53835	サシオサエ	差し押さえ	0.99954
276456	イルミネーテッド	イルミネーテッド-illuminated	274450	イルミ	イルミ	0.881829
5386	オロス	下ろす	193243	クダシ	下し	0.866401
164092	パラジクロロベンゼン	パラジクロロベンゼン-Paradichlorobenzene	274070	パラジ	パラジ	0.891564
134903	マゾヒスト	マゾヒスト-masochist	120966	マゾ	マゾ-masochist	0.999889
83547	ドライヤー	ドライヤー-drier	27348	ドライ	ドライ-dry	0.829253
6707	カチトル	勝ち取る	6700	カチ	勝ち	0.998608
71342	アソビタオス	遊び倒す	722	アソブ	遊ぶ	0.995581
234225	オチチラバル	落ち散らばる	92678	オチチル	落ち散る	0.863887
87919	カカワリアイ	関わり合い	6019	カカワリ	関わり	0.995592
943	アフターケア	アフターケア-aftercare	942	アフター	アフター-after	0.832335
83242	スネアー	スネアー-snare	156306	スネア	スネア-snare	0.978594
261473	ウマレカワラス	生まれ変わらす	258611	ウマレナオシ	生まれ直し	0.979438
93347	バイオマス	バイオマス-biomass	159991	バイオ	バイオ	0.973463
10360	クミアワス	組み合わす	10383	クム	組む	0.85549
10455	クラベル	比べる	10452	クラベ	比べ	0.912649
105228	カタマリカケル	固まり掛ける	6664	カタマル	固まる	0.996639
218650	タップダンスシチー	タップダンスシチー	22432	タップ	タップ-tap	0.961062
53923	サシツケル	差し付ける	252176	サシツケ	差し付け	0.99761
18098	ジャズマン	ジャズマン-jazzman	18097	ジャズ	ジャズ-jazz	0.994765
26768	トリオサエル	取り押さえる	213753	トリオサエ	取り押さえ	0.993388
85988	フェリーボート	フェリーボート-ferryboat	32461	フェリー	フェリー-ferry	0.995049
41817	スローイング	スローイング-throwing	41499	スロー	スロー-slow	0.935707
30220	ハリアゲル	張り上げる	30214	ハリ	張り	0.953058
195915	カタリカケ	語り掛け	6689	カタル	語る	0.95462
199869	フキハコブ	吹き運ぶ	193448	フキグチ	吹き口	0.974533
83475	テクノポリス	テクノポリス-technopolis	136876	テク	テク-technic	0.916528
