# ref_src_2019_03.tsv をマルチクラスのGLAD法で品質評価した結果
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID_1	語彙素読み1	語彙素1	語彙素ID_2	語彙素読み2	語彙素2	2つの語彙素が近しい意味を持つ確率
87445	フキカエル	葺き替える	65136	フキカエ	葺き替え	0.975121
2022	イタマシイ	痛ましい	2028	イタム	痛む	0.916343
322757	アルキザマ	歩き様	1097	アユム	歩む	0.930812
6248	カクレル	隠れる	6161	カクシ	隠し	0.891216
26812	トリツケル	取り付ける	26811	トリツケ	取り付け	0.999818
299730	ケンスル	嫌する	9481	キライ	嫌い	0.989565
26824	トリノケル	取り除ける	26826	トリノゾク	取り除く	0.999805
29543	ハキダス	吐き出す	29560	ハク	吐く	0.908501
187537	ウリニゲル	売り逃げる	187534	ウリニゲ	売り逃げ	0.940571
251847	ウカレバヤシ	浮かれ囃子	236245	ウカレモノ	浮かれ者	0.913626
262556	シハライガク	支払い額	15650	シハライ	支払い	0.999994
3980	エバンゲリオン	エバンゲリオン-evangelion	3982	エバ	エバ-Eva	0.938469
6389	カザリツケル	飾り付ける	6388	カザリツケ	飾り付け	0.832763
203225	シイレドンヤ	仕入れ問屋	14984	シイレ	仕入れ	0.995164
239074	リフレッシャー	リフレッシャー-refresher	40092	リフレッシュ	リフレッシュ-refresh	0.814721
51321	ウリハラウ	売り払う	3505	ウル	売る	0.998946
132250	エクスプレッショニズム	エクスプレッショニズム-expressionism	132251	エクスプレッション	エクスプレッション-expression	0.843587
50864	クリアワセル	繰り合わせる	193147	クリアワセ	繰り合わせ	0.99536
49574	キキアワセル	聞き合わせる	276741	キキアワセ	聞き合わせ	1.0
49479	ウツブセル	うつ伏せる	140046	ウツブシ	うつ伏し	0.834015
24775	ツメタイ	冷たい	65795	ヒヤ	冷や	0.876355
249061	オサエボウ	押さえ棒	4886	オサエ	押さえ	0.976661
87187	カタリコメル	語り込める	6686	カタリツグ	語り継ぐ	0.879754
25713	デモンストレーション	デモンストレーション-demonstration	25711	デモ	デモ-demo	0.964752
88847	イタワリナグサメル	労わり慰める	92178	イタワリアウ	労わり合う	0.903695
88786	ノボリアルク	上り歩く	29209	ノボル	上る	0.800471
88814	ツカイステル	使い捨てる	24451	ツカイステ	使い捨て	0.999699
137244	ナヤミゴト	悩み事	28006	ナヤミ	悩み	0.99998
212823	ノケゾリカエル	仰け反り返る	29086	ノケゾル	仰け反る	0.981688
230941	ススギキヨメル	濯ぎ清める	223703	ススギナガス	濯ぎ流す	0.912983
31127	ヒエコム	冷え込む	64415	ヒエ	冷え	0.914222
31213	ヒキウケル	引き受ける	31212	ヒキウケ	引き受け	0.999974
92802	ツラナリアウ	連なり合う	24801	ツラナリ	連なり	0.862843
201688	ヤキイレル	焼き入れる	212692	ヤキツキ	焼き付き	0.915325
90623	カクシタテル	隠し立てる	48203	カクシダテ	隠し立て	0.999906
19087	スキーヤー	スキーヤー-skier	19084	スキー	スキー-ski	0.946882
191161	カタリウッタエル	語り訴える	6689	カタル	語る	0.828287
90241	キキオボエル	聞き覚える	8356	キキオボエ	聞き覚え	0.997755
309639	アガリギワ	上がり際	369	アガリ	上がり	0.858853
3032	ウカビアガル	浮かび上がる	87090	ウカビデル	浮かび出る	0.806262
3229	ウチダス	打ち出す	47934	ウチデ	打ち出	0.997443
223475	ニギワイアフレル	賑わい溢れる	28227	ニギワウ	賑わう	0.998111
83131	ジャンボリー	ジャンボリー-jamboree	248673	ジャンボ	ジャンボ-jambo	0.810412
180899	コギイデル	漕ぎ出でる	137325	コギダス	漕ぎ出す	1.0
49796	カリウム	カリウム-kalium	48880	カリ	カリ-kali	0.986373
4946	オシマケル	押し負ける	137249	オシテ	押し手	0.931637
88844	ケズリオトス	削り落とす	291451	ハツル	削る	0.994765
88712	サンプラー	サンプラー	334717	サンプラ	サンプラ	0.916883
195007	カキアラス	掻き荒らす	187867	カキコワス	掻き壊す	0.887344
322351	アユミユク	歩み行く	1097	アユム	歩む	0.99883
35300	ポジティブ	ポジティブ-positive	86516	ポジ	ポジ	0.954725
207047	ノミタベル	飲み食べる	29217	ノミクイ	飲み食い	0.999792
86813	モノクローム	モノクローム-monochrome	37886	モノクロ	モノクロ-monochrome	0.999932
86010	フットサル	フットサル-futsal	45264	フット	フット-foot	0.923763
241765	アワセムスブ	合わせ結ぶ	217362	アワセメ	合わせ目	0.815798
309711	インフレクション	インフレクション-inflection	120769	インフレ	インフレ-inflation	0.998343
92332	オモイイレル	思い入れる	5227	オモイイレ	思い入れ	0.996435
92335	オモイカタメル	思い固める	5255	オモウ	思う	0.99834
17299	シンクロナイズド	シンクロナイズド-synchronized	98339	シンクロ	シンクロ-synchro	0.898814
17299	シンクロナイズド	シンクロナイズド-synchronized	83168	シンクロナイズ	シンクロナイズ-synchronize	0.932067
291806	スベラカス	滑らかす	62755	ヌメリ	滑り	0.991387
28853	ネッスル	熱する	308573	ホトル	熱る	0.997197
289601	ヒトサワガシイ	人騒がしい	65267	ヒトサワガセ	人騒がせ	0.82433
28786	ネガイデル	願い出る	196007	ネガイデ	願い出	0.850301
71454	カンガエダス	考え出す	7512	カンガエドコロ	考え所	0.94828
221568	サブユニット	サブユニット-subunit	41690	サブ	サブ-sub	0.996084
38941	ユルメル	緩める	38939	ユルミ	緩み	0.880132
331918	マニアワス	間に合わす	333651	マニアイ	間に合い	0.881976
324595	ヒトリズマイ	独り住まい	246501	ヒトリズミ	独り住み	0.999817
311568	ユニバーサリティー	ユニバーサリティー-universality	38872	ユニバーサル	ユニバーサル-universal	0.991386
64410	ニゲバ	逃げ場	64403	ニゲ	逃げ	0.910561
64417	ヒエビエ	冷え冷え	64415	ヒエ	冷え	0.999829
171596	ヌイアワセル	縫い合わせる	194361	ヌイアワセ	縫い合わせ	0.989248
28258	ニゲル	逃げる	64403	ニゲ	逃げ	0.999981
88103	ツメナオス	詰め直す	60115	ツミ	詰み	0.999985
87851	ハタラキカケル	働き掛ける	87906	ハタラキカケ	働き掛け	0.905948
83169	シンクロナイゼーション	シンクロナイゼーション-synchronization	83168	シンクロナイズ	シンクロナイズ-synchronize	0.985006
53913	サシツカワス	差し遣わす	89731	サシヤル	差し遣る	0.857913
54046	サシモノ	差し物	14173	サス	差す-他動詞	0.837566
176037	タレナガレル	垂れ流れる	22742	タレナガス	垂れ流す	0.993184
176024	モチソナエル	持ち備える	37774	モチハコビ	持ち運び	0.850507
89539	モミアゲル	揉み上げる	198344	モミ	揉み	0.997967
89518	ハキオロス	掃き下ろす	334843	ハキノゴウ	掃き拭う	0.813078
261237	ミツグ	見継ぐ	36920	ミル	見る	0.999399
53847	サシカエル	差し替える	53846	サシカエ	差し替え	0.923682
53152	コトヅケル	言付ける	53151	コトヅケ	言付け	0.999751
44000	コンプリート	コンプリート-complete	271523	コンプ	コンプ	0.999958
98515	ヒレカツ	ヒレカツ	89014	ヒレ	ヒレ-filet	0.996146
257292	ナメズリアウ	嘗めずり合う	63521	ナメズル	嘗めずる	0.917328
173631	ヤキシメル	焼き締める	186767	ヤキシメ	焼き締め	0.993365
173797	プレゼンター	プレゼンター	262723	プレゼンタ	プレゼンタ	0.989583
62879	ネトボケル	寝惚ける	195885	ネトボケ	寝惚け	0.999985
63832	ツカネル	束ねる	335487	タバル	束る	0.999992
194922	ネジレマガル	捩じれ曲がる	28829	ネジレル	捩じれる	0.999917
10373	クミタテル	組み立てる	10372	クミタテ	組み立て	1.0
10366	クミカエル	組み替える	10365	クミカエ	組み替え	0.999995
89745	ヒキツレル	引き吊れる	92309	ヒキツル	引き吊る	0.988103
217025	ブルーミングデール	ブルーミングデール	238656	ブルーミング	ブルーミング-blooming	0.859524
29204	ノボリザカ	上り坂	29201	ノボリ	上り	0.99965
29111	ノスタルジック	ノスタルジック-nostalgic	29110	ノスタルジア	ノスタルジア-nostalgia	0.991729
120465	モウシイダス	申し出だす	37600	モウシデ	申し出	0.957462
230942	ターミネーション	ターミネーション-termination	230894	ターミネート	ターミネート-terminate	0.823434
6074	カキタメル	書き溜める	201932	カキタメ	書き溜め	0.863322
278374	オドカシアウ	脅かし合う	178712	オドカシ	脅かし	0.868802
90617	トジフサガル	閉じ塞がる	199853	トジフサグ	閉じ塞ぐ	0.982097
264095	ハスル	破する	38404	ヤブル	破る	0.992621
135275	リンボー	リンボー-limbo	155163	リンボ	リンボ-limbo	0.861027
232316	トナリビト	隣り人	26526	トナリ	隣り	0.997936
232658	ムシザカナ	蒸し魚	37088	ムシ	蒸し	0.971087
132978	コマーシャリズム	コマーシャリズム-commercialism	13002	コマーシャル	コマーシャル-commercial	0.999999
90541	イイツゲル	言い告げる	1567	イイワタス	言い渡す	0.97589
256388	アワセイデル	合わせ出でる	258118	アワセグル	合わせ繰る	0.820558
87179	カキヨセル	掻き寄せる	89532	カキサグル	掻き探る	0.904029
87264	ソリオトス	剃り落とす	21447	ソリ	剃り	0.947619
87368	ヨミワケル	読み分ける	39483	ヨミワケ	読み分け	0.996285
133852	デシケーター	デシケーター-desiccator	213193	デシケータ	デシケータ-desiccator	0.992773
120850	バスケット	バスケット-basket	120851	バスケ	バスケ-basketball	0.972958
32044	ビデオテープ	ビデオテープ-videotape	32042	ビデオ	ビデオ-video	0.999303
31137	ヒカエシツ	控え室	31136	ヒカエ	控え	0.974202
83562	トランスミッション	トランスミッション-transmission	311264	トランスミット	トランスミット-transmit	0.981437
58594	タチフサガル	立ち塞がる	176066	タチフサグ	立ち塞ぐ	0.999997
68433	モタレル	凭れる	195707	モタレ	凭れ	0.997332
19433	スマイ	住まい	19478	スム	住む	0.878874
49157	カンガエモノ	考え物	7506	カンガエ	考え	0.965819
48107	カキナガス	書き流す	6124	カク	書く	0.933705
48499	カタラウ	語らう	6689	カタル	語る	0.987943
49076	カミアワセル	噛み合わせる	7147	カム	噛む	0.874528
19249	スッパイ	酸っぱい	56919	スミ	酸み	0.999198
323135	オトトシアタリ	一昨年辺り	5088	オトトシ	一昨年	0.803259
197885	ヨガリナキ	善がり泣き	196422	ヨガリゴエ	善がり声	0.992576
197158	ウカレオドル	浮かれ踊る	231326	ウカレブシ	浮かれ節	0.974976
37746	モチアワセル	持ち合わせる	68447	モチアワセ	持ち合わせ	0.866005
92223	フキスギル	吹き過ぎる	270526	フキミダル	吹き乱る	0.870762
232468	ヨサコイマツリ	よさこい祭り	230237	ヨサコイブシ	よさこい節	0.842973
232493	シメカタマリ	締め固まり	243854	シメカタメ	締め固め	0.949042
188892	アタリクジ	当たり籤	751	アタリ	当たり	0.997981
211369	フケユク	更け行く	32714	フケル	更ける	0.997971
172420	ナイアワセル	綯い合わせる	198436	ナイアワセ	綯い合わせ	0.896288
94902	クダケチル	砕け散る	10184	クダク	砕く	0.951123
105033	シュクサイジツ	祝祭日	2643	イワウ	祝う	0.9635
10436	クラスルーム	クラスルーム-classroom	10431	クラス	クラス-class	0.999889
10362	クミアワセル	組み合わせる	10361	クミアワセ	組み合わせ	0.999594
10545	クルワス	狂わす	50918	クルイ	狂い	0.999992
40186	リュックサック	リュックサック-rucksack	120972	リュック	リュック-rucksack	0.996622
15064	シカケル	仕掛ける	15063	シカケ	仕掛け	0.921564
90675	ハシリスギル	走り過ぎる	331135	ハシリユク	走り行く	0.999001
170029	ヒネリワザ	捻り技	31609	ヒネリ	捻り	0.898768
36414	ミスマッチ	ミスマッチ-mismatch	36394	ミス	ミス-mistake	0.919718
36976	ミートボール	ミートボール	86734	ミート	ミート-meat	0.804348
263719	カワリゴハン	変わり御飯	272337	カワリガユ	変わり粥	0.99656
49456	キオイタツ	競い立つ	49458	キオウ	競う	0.911664
71004	ヤセッポチ	痩せっぽち	120240	ヤセ	痩せ	0.991164
31000	パフォーマンス	パフォーマンス-performance	44093	パフォーマー	パフォーマー	0.975904
194370	ヘラシメ	減らし目	33974	ヘラシ	減らし	0.958196
33769	プログレッション	プログレッション-progression	184300	プログレ	プログレ-progressive	0.988742
131873	アサインメント	アサインメント-assignment	543	アサイン	アサイン-assign	0.878734
136329	ノバシカケル	伸ばし掛ける	237409	ノバシカケ	伸ばし掛け	0.999226
187218	リージェンシー	リージェンシー-regency	177537	リージェント	リージェント-regent	0.820608
211481	モウシタッスル	申し達する	211484	モウシタッシ	申し達し	0.882194
69147	ヨセアツメル	寄せ集める	39352	ヨセアツメ	寄せ集め	0.972222
82667	エクステンション	エクステンション-extension	160433	エクステ	エクステ-extention	0.871441
89986	テラシツケル	照らし付ける	200195	テラシミチビク	照らし導く	0.901162
90502	ナガメスカス	眺め透かす	206902	ナガメキク	眺め聴く	0.985238
90146	カキススメル	書き進める	175725	カキススム	書き進む	0.994792
28460	ニツメル	煮詰める	235573	ニツメ	煮詰め	0.996819
8665	キックオフ	キックオフ-kick-off	8664	キック	キック-kick	0.811257
5628	カイアゲル	買い上げる	5627	カイアゲ	買い上げ	0.976307
334767	フリチル	降り散る	65601	フリ	降り	0.963696
92359	タグリアゲル	手繰り上げる	89786	タグリモドス	手繰り戻す	0.890473
92332	オモイイレル	思い入れる	89759	オモイイル	思い入る	0.998836
92355	ナシオク	成し置く	27833	ナス	成す	0.816335
243778	スチームド	スチームド-steamed	83216	スチーム	スチーム-steam	0.900761
207591	マガリミチ	曲がり道	164208	マガリ	曲がり	0.953743
173232	ハキヨセル	掃き寄せる	29564	ハク	掃く	0.981559
92562	ウタガイアヤシム	疑い怪しむ	47508	ウタグル	疑る	0.999503
309572	アップデーティング	アップデーティング	172520	アップデート	アップデート-update	0.828821
334790	オモイコメル	思い込める	5255	オモウ	思う	0.969371
20569	センチメートル	センチメートル	120840	センチ	センチ-sentimental	0.99992
204698	ヒルガエッテ	翻って	31852	ヒルガエル	翻る	0.845606
190683	ヨガリナク	善がり泣く	196422	ヨガリゴエ	善がり声	0.989323
190258	パチンコウチ	ぱちんこ打ち	206017	パチンコキョウ	ぱちんこ狂	0.996071
322358	ニクミイヤシム	憎み卑しむ	28247	ニクム	憎む	0.98213
22513	タトエバナシ	例え話	22511	タトエ	例え	0.979396
250854	ニトロジフェニル	ニトロジフェニル-nitrodiphenyl	83608	ニトロ	ニトロ-nitro	0.938738
89219	マナビナオス	学び直す	35935	マナビ	学び	0.997094
201672	アビセタオス	浴びせ倒す	934	アビセル	浴びせる	0.998778
207256	ウエツキ	上付き	513	アゲ	上げ	0.81087
135252	リボルビング	リボルビング-revolving	45709	リボ	リボ	0.998896
171571	コスリアワセル	擦り合わせる	58778	スレ	擦れ	0.997094
174026	カミアワサル	噛み合わさる	193305	カミアイ	噛み合い	0.993428
251651	ドヨメキタツ	響動めき立つ	27345	ドヨメキ	響動めき	0.995072
251639	ツルサガル	吊る下がる	24819	ツル	吊る	0.974812
14960	シアゲル	仕上げる	237330	シアゲ	仕上げ	0.995327
176910	ハガレカケル	剥がれ掛ける	322335	ハガレユク	剥がれ行く	0.999486
117362	ブリーダーズ	ブリーダーズ-Breeders'	33493	ブリーダー	ブリーダー-breeder	0.99528
42124	オキカワル	置き換わる	4781	オキカエ	置き換え	0.999966
3855	エステティシャン	エステティシャン-estheticien	71030	エステティック	エステティック-esthetique	0.996425
87147	オチコボレル	落ち零れる	5017	オチコボレ	落ち零れ	0.999562
70462	ワリキレル	割り切れる	41353	ワリキル	割り切る	0.957429
69960	ワカチ	分かち	41222	ワケ	分け	0.916929
69322	ヨリヨリ	寄り寄り	39520	ヨル	寄る	0.998523
69220	ヨビイレル	呼び入れる	39448	ヨブ	呼ぶ	0.982275
241152	ウラミゴコロ	恨み心	3465	ウラミ	恨み	0.870519
162544	トリクラウ	取り食らう	60969	トリイル	取り入る	0.855993
63964	ツキトオル	突き通る	63878	ツキ	突き	0.941106
63996	ハリダシ	張り出し	30255	ハル	張る	0.872047
63945	ツギタス	継ぎ足す	24532	ツギテ	継ぎ手	0.861442
63893	ハヤマル	早まる	30141	ハヤク	早く	0.999122
270070	ケアテル	蹴当てる	11229	ケリ	蹴り	0.969988
272438	ドラエモンズ	ドラえもんズ	27351	ドラエモン	ドラえもん	0.978625
174534	ウチカゾエル	打ち数える	48031	ウチミル	打ち見る	0.88104
89828	カキツラネル	書き連ねる	6068	カキコム	書き込む	0.856042
42737	コンビネーション	コンビネーション-combination	13256	コンビ	コンビ-combination	0.999044
43242	プロテスタンティズム	プロテスタンティズム-Protestantism	86106	プロテスタント	プロテスタント-Protestant	0.947619
199116	キラメキカガヤク	煌めき輝く	120499	キラメキ	煌めき	0.980447
212604	マジワリアウ	交わり合う	68098	マジワリ	交わり	0.97117
30243	ハリツケル	張り付ける	30241	ハリツク	張り付く	0.999981
3032	ウカビアガル	浮かび上がる	307685	ウカビダス	浮かび出す	0.964354
25838	トイアワセル	問い合わせる	89104	トイアワス	問い合わす	1.0
201517	クイカカル	食い掛かる	52990	クイカケ	食い掛け	0.802094
201526	ミモダエル	身悶える	67271	ミモダエ	身悶え	1.0
203896	サシイデル	差し出でる	258079	サシイデ	差し出で	0.879683
203882	ウカレイデル	浮かれ出でる	191552	ウカレアルク	浮かれ歩く	0.905157
199811	メクレデル	捲れ出る	37375	メクル	捲る	0.95519
199624	リサーチャー	リサーチャー-researcher	39964	リサーチ	リサーチ-research	0.959531
89243	トドケイデル	届け出でる	26512	トドケデル	届け出る	0.975607
68300	モウシウケル	申し受ける	194297	モウシウケ	申し受け	0.956126
82914	コーチング	コーチング-coaching	13301	コーチ	コーチ-coach	0.999558
174175	カケチガエル	掛け違える	6284	カケチガイ	掛け違い	0.998658
87415	マモリソダテル	守り育てる	200272	マモリハグクム	守り育む	0.996753
228405	コンサルタンティング	コンサルタンティング	13172	コンサルタント	コンサルタント-consultant	0.978686
235127	ダイエットレーニング	ダイエットレーニング	22950	ダイエット	ダイエット-diet	0.977752
234450	スピリチュアリスト	スピリチュアリスト-spiritualist	44290	スピリチュアル	スピリチュアル-spiritual	0.999915
223832	スリアワサル	擦り合わさる	88658	ナスリアウ	擦り合う	0.857659
89596	ハサミイレル	挟み入れる	29668	ハサム	挟む	0.850838
89621	カケステル	掛け捨てる	48332	カケステ	掛け捨て	0.991471
209668	ツナギナオス	繋ぎ直す	24673	ツナギ	繋ぎ	0.92769
238962	ネジリタオス	捩り倒す	193345	ヨジレ	捩れ	0.830287
1266	アルミニウム	アルミニウム-aluminium	1261	アルミ	アルミ-aluminium	0.996683
236712	タメシヌリ	試し塗り	22692	タメス	試す	0.99397
335621	ヒッコマセル	引っ込ませる	201477	ヒッコマス	引っ込ます	0.999762
63810	ツカイサキ	使い先	24447	ツカイ	使い	0.823252
6092	カキマゼル	掻き混ぜる	264900	カキマゼ	掻き混ぜ	0.931685
204425	オサエメ	押さえめ	4886	オサエ	押さえ	0.906434
201551	アヤマリツタエル	誤り伝える	1086	アヤマリ	誤り	0.937842
174055	アミアガル	編み上がる	92636	アミマワル	編み回る	0.846027
174002	シクミヅクリ	仕組み作り	15166	シクミ	仕組み	0.889999
175923	クルシミモガク	苦しみもがく	10526	クルシミ	苦しみ	0.997541
175727	シタテアゲル	仕立て上げる	15431	シタテル	仕立てる	0.999999
90482	アラワレイデル	現われ出でる	89998	アラワレデル	現われ出る	0.997653
90437	ヒタリコム	浸り込む	31397	ヒタル	浸る	0.983182
43564	パケット	パケット-packet	184876	パケ	パケ-packet	0.99992
43564	パケット	パケット-packet	120847	パケ	パケ-package	0.995114
25723	デリカ	デリカ	165141	デリ	デリ-delicatessen	0.960572
87194	キガマエル	気構える	49554	キガマエ	気構え	0.994662
87173	カキオロス	書き下ろす	48064	カキクダス	書き下す	0.975539
3288	ウツブセネ	うつ伏せ寝	3287	ウツブセ	うつ伏せ	0.985549
3410	ウメタテル	埋め立てる	3409	ウメタテ	埋め立て	0.962698
3375	ウマレソダツ	生まれ育つ	3379	ウマレル	生まれる	0.940933
134165	バイオニクス	バイオニクス-bionics	159991	バイオ	バイオ	0.899081
33101	フリカケル	振り掛ける	65615	フリカケ	振り掛け	0.98527
328137	オワリカケ	終わり掛け	5393	オワリ	終わり	0.994991
32932	フテクサレル	不貞腐れる	65181	フテクサル	不貞腐る	0.999998
176090	トオリコエル	通り越える	26207	トオリコス	通り越す	0.999935
220837	インスピレーショナル	インスピレーショナル-inspirational	2759	インスピレーション	インスピレーション-inspiration	0.996129
89142	ヨリカタマル	寄り固まる	39520	ヨル	寄る	0.942957
89093	フキナガレル	吹き流れる	65164	フキナガシ	吹き流し	0.915697
8902	キャラクター	キャラクター-character	120786	キャラ	キャラ-character	1.0
135218	リスケジューリング	リスケジューリング-rescheduling	203166	リスケジュール	リスケジュール-reschedule	0.998315
33126	フリムケル	振り向ける	33122	フリマク	振り撒く	0.84865
335316	アワセユウスル	合わせ有する	224365	アワセシメス	合わせ示す	0.991015
88653	ガナリチラス	がなり散らす	88652	ガナリアウ	がなり合う	0.993213
88339	コンディショナリティー	コンディショナリティー-conditionality	82969	コンディショナル	コンディショナル-conditional	0.80998
249853	アルキヨル	歩き寄る	1094	アユミ	歩み	0.916391
9592	キワマル	極まる	52338	キワメ	極め	0.868811
212677	カタリイデル	語り出でる	212551	カタリデル	語り出る	0.994602
263938	オモイウツロウ	思い移ろう	92336	オモイヨル	思い寄る	0.989355
6064	カキクワエル	書き加える	88054	カキ	書き	0.817358
54219	エラビトル	選び取る	4087	エラブ	選ぶ	0.997247
29250	ノリカエル	乗り換える	29249	ノリカエ	乗り換え	0.932959
28686	ヌカス	抜かす	28697	ヌク	抜く	0.817114
202262	イミサケル	忌み避ける	173134	イミゴト	忌み事	0.999991
5178	オブジェクト	オブジェクト-object	305506	オブジェ	オブジェ	0.957741
5159	オビエル	怯える	160197	オビエ	怯え	1.0
231805	アワセイレル	合わせ入れる	232652	アワセモノ	合わせ物	0.972257
191189	テクノロジズム	テクノロジズム-technologism	25126	テクノ	テクノ-techno	0.960997
322538	ワライシビレル	笑い痺れる	90296	ワライアウ	笑い合う	0.957436
203924	ニゲイデル	逃げ出でる	257692	ニゲテ	逃げ手	0.854343
201450	オシコメル	押し込める	4931	オシコム	押し込む	0.999936
201928	アワセモチイル	合わせ用いる	1303	アワセル	合わせる	0.964548
178862	アザムキイツワル	欺き偽る	599	アザムク	欺く	0.91873
206218	イタワリミチビク	労わり導く	28796	ネギライ	労い	0.996855
35003	ホームタウン	ホームタウン-hometown	120870	ホーム	ホーム-platform	0.999926
46565	アライタテル	洗い立てる	46564	アライタテ	洗い立て	0.980803
135393	ワンダーランド	ワンダーランド-wonderland	43765	ワンダー	ワンダー-wonder	0.990877
201911	スカシミエル	透かし見える	246666	スカシバコ	透かし箱	0.911483
201788	ツギアテル	継ぎ当てる	155618	ツギアテ	継ぎ当て	0.997139
87839	マジリアウ	混じり合う	68095	マジリケ	混じり気	0.86613
88714	サーモグラフィー	サーモグラフィー-thermography	181993	サーモ	サーモ-thermo	0.996079
88847	イタワリナグサメル	労わり慰める	237305	イタワリゴコロ	労わり心	0.976079
3491	ウリダシ	売り出し	3478	ウリ	売り	0.822346
90002	ウマレイデル	生まれ出でる	260563	ウマレソダチ	生まれ育ち	0.999907
3094	ウゴカス	動かす	3095	ウゴキ	動き	0.999974
3296	ウツリスム	移り住む	3299	ウツル	移る	0.968205
250605	ネダリゴト	強請り言	68668	ユスリ	強請	0.959869
39842	ランニング	ランニング-running	39788	ラン	ラン-run	0.998572
210050	ヒガミモノ	僻み者	64470	ヒガミ	僻み	0.947988
35796	マックロイ	真っ黒い	35795	マックロ	真っ黒	0.999981
40684	レストラン	レストラン-restaurant	44035	レスト	レスト-rest	0.93772
239270	インポッシブリー	インポッシブリー-impossibly	45696	インポッシブル	インポッシブル	0.86378
180899	コギイデル	漕ぎ出でる	201440	コギデル	漕ぎ出る	0.998128
180263	タズネトウ	尋ね問う	287898	タズネ	尋ね	0.825242
226855	アメリカーネ	アメリカーネ	1062	アメリカン	アメリカン-American	0.913936
41357	ワリザン	割り算	41345	ワリ	割り	0.993054
206875	トカシイレル	溶かし入れる	198889	トカシダス	溶かし出す	0.900649
82889	ケースワーカー	ケースワーカー-caseworker	82890	ケースワーク	ケースワーク-casework	0.958267
208951	クルシメナヤマス	苦しめ悩ます	10528	クルシメル	苦しめる	0.973307
175808	カタリツゲル	語り告げる	195915	カタリカケ	語り掛け	0.812607
5635	カイイレル	買い入れる	5634	カイイレ	買い入れ	0.999991
5635	カイイレル	買い入れる	5821	カイダシ	買い出し	0.99306
25124	テクニシャン	テクニシャン-technician	136876	テク	テク-technic	0.999974
199949	イリタツ	入り立つ	180419	ハイリ	入り	0.92124
90588	セマリセマル	迫り迫る	20320	セマル	迫る	0.999295
14654	サンドイッチ	サンドイッチ-sandwich	83050	サンド	サンド-sand	0.812104
87445	フキカエル	葺き替える	44367	フク	葺く	0.855073
82730	オーバーヘッド	オーバーヘッド-overhead	5540	オーバー	オーバー-over	0.914282
90565	ハシリオリル	走り下りる	178755	ハシリクダル	走り下る	0.848382
249331	オモイマギラワス	思い紛らわす	188412	オモイトメル	思い止める	0.85519
71392	ハンディー	ハンディー-handy	120865	ハンデ	ハンデ-handicap	0.80982
71596	ロリコン	ロリコン	138617	ロリ	ロリ	0.999995
252042	ペンタメチルピペリジン	ペンタメチルピペリジン-pentamethylpiperidine	209596	ペンタ	ペンタ-pentaprism	0.996272
90005	ウミイカス	生み生かす	293601	イク	生く	0.889146
90195	タチイデル	立ち出でる	196923	タチ	立ち	0.866796
90223	ヌイカケル	縫い掛ける	214226	ヌイカケ	縫い掛け	0.999935
90227	クリサガル	繰り下がる	193392	クリサゲ	繰り下げ	0.938987
223929	アワセタク	合わせ焚く	217363	アワセニ	合わせ煮	0.895275
5193	オボエガキ	覚え書き	5194	オボエル	覚える	0.834579
191195	ノゾキヨム	覗き読む	29118	ノゾク	覗く	0.990075
117594	ペプチドグリカン	ペプチドグリカン-peptidoglycan	102024	ペプチド	ペプチド-peptide	0.823825
172768	ニラミアワセル	睨み合わせる	228622	ニラミアワス	睨み合わす	0.846481
172649	ヌリアガル	塗り上がる	196046	ヌリアゲ	塗り上げ	0.985588
172654	カナシミナゲク	悲しみ嘆く	270041	カナシミビト	悲しみ人	0.966931
93257	コーディネーティング	コーディネーティング-coordinating	120622	コーデ	コーデ-coordinate	0.999015
195254	ハンヤケ	半焼け	62055	ナカラ	半ら	0.908535
132160	インターラクティビティー	インターラクティビティー-interactivity	2786	インターラクティブ	インターラクティブ-interactive	0.97813
2758	インストール	インストール-install	114952	イン	イン-inn	0.99902
207527	カブリユ	被り湯	7023	カブル	被る	0.87093
59014	タムケル	手向ける	59008	タムケ	手向け	0.996496
54480	オビキヨセル	誘き寄せる	71354	イザナウ	誘う	0.992555
6590	カゾエル	数える	99714	カゾエ	数え	0.99906
82496	アップロード	アップロード-upload	795	アップ	アップ-up	0.931835
83624	ネガティビティー	ネガティビティー-negativity	28783	ネガ	ネガ	0.991059
310784	サイコメトリック	サイコメトリック	256791	サイコメトラー	サイコメトラー-psychometrer	0.994511
87192	カリアツメル	借り集める	7265	カリ	借り	0.99034
8296	キエサル	消え去る	11098	ケス	消す	0.973559
194852	コスレアウ	擦れ合う	12729	コスル	擦る	0.997462
190260	ヨセアワセル	寄せ合わせる	89220	ヨセアウ	寄せ合う	0.880087
89255	ヒキモギル	引きもぎる	89743	ヒキモグ	引きもぐ	0.818568
26839	トリマトメル	取り纏める	26838	トリマトメ	取り纏め	0.992353
95312	オリエンタリズム	オリエンタリズム-orientalism	5331	オリエンタル	オリエンタル-oriental	0.998743
987	アポイント	アポイント-appointment	136578	アポ	アポ-appointment	0.999996
30522	バイオテクノロジー	バイオテクノロジー-biotechnology	159991	バイオ	バイオ	0.994936
82699	エモーション	エモーション-emotion	267084	エモ	エモ-emo	0.908136
26555	トビコエル	飛び越える	26556	トビコシ	飛び越し	0.99351
26552	トビオリル	飛び下りる	26545	トビ	飛び	0.893169
