# ref_src_2019_03.tsv をマルチクラスのGLAD法で品質評価した結果
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID_1	語彙素読み1	語彙素1	語彙素ID_2	語彙素読み2	語彙素2	2つの語彙素が近しい意味を持つ確率22269	タシアワセル	足し合わせる	22268	タシアワス	足し合わす	0.99225
233817	アナトラ	アナトラ-anatra	120756	アナ	アナ-announcer	0.022028
233842	グルイン	グルイン-group interview	132882	グル	グル-guru	0.001163
212624	ウリススメル	売り勧める	51300	ウリコシ	売り越し	0.000172
212609	トリタリル	取り足りる	26851	トリワケ	取り分け	0.166344
212443	アストランティア	アストランティア-astrantia	99827	アストラル	アストラル-astral	0.0
212000	フォトグラフ	フォトグラフ-photograph	32481	フォト	フォト-photo	1.0
212551	カタリデル	語り出る	48502	カタリグサ	語り草	0.000823
212486	メクリアガル	捲り上がる	37375	メクル	捲る	0.831403
211552	モミオス	揉み押す	37923	モム	揉む	0.05985
211502	タチクタビレル	立ち草臥れる	90196	タチコモル	立ち籠もる	0.0
211969	バイロー	バイロー	30513	バイ	バイ-by	0.003361
211917	セルティック	セルティック-celtic	20356	セル	セル-cell	0.000702
132105	アートマン	アートマン-atman	1447	アー	アー-are	2.3e-05
132104	アートタイプ	アートタイプ-artotype	1447	アー	アー-are	7.1e-05
132103	アーティフィシャル	アーティフィシャル-artificial	1447	アー	アー-are	7e-06
132083	アンドロゲン	アンドロゲン-androgen	1401	アンド	アンド-and	0.011826
13110	コロガル	転がる	47862	ウタタ	転た	0.000821
1302	アワセモツ	合わせ持つ	217363	アワセニ	合わせ煮	0.252536
12914	コノマシイ	好ましい	12917	コノム	好む	0.86496
1285	アレンジメント	アレンジメント-arrangement	138482	アレンジャー	アレンジャー-arranger	0.740362
95694	ダバダバ	ダバダバ	216099	ダバ	ダバ-dava	0.000338
228463	オモイスマス	思い澄ます	5255	オモウ	思う	0.125268
99911	アルスロデルマ	アルスロデルマ-arthroderma	82542	アルス	アルス-ars	0.0
133400	スケープゴーティング	スケープゴーティング-scapegoating	83198	スケープゴート	スケープゴート-scapegoat	0.004083
133414	スタンツ	スタンツ-stunts	19223	スタン	スタン-stun	0.029786
